year,state,state_code,county,subdivision_type,candidate,party,votes,percentage,total_votes,winning_party
2000,Arizona,AZ,Yuma,County,Other,Other,178,0.63,28652,Republican
2000,Arkansas,AR,Arkansas,County,George W. Bush,Republican,3353,52.62,6372,Republican
2000,Arkansas,AR,Arkansas,County,Al Gore,Democratic,2877,45.15,6372,Republican
2000,Arkansas,AR,Arkansas,County,Other,Other,142,2.23,6372,Republican
2000,Arkansas,AR,Ashley,County,George W. Bush,Republican,3876,46.86,8271,Democratic
2000,Arkansas,AR,Ashley,County,Al Gore,Democratic,4253,51.42,8271,Democratic
2000,Arkansas,AR,Ashley,County,Other,Other,142,1.72,8271,Democratic
2000,Arkansas,AR,Baxter,County,George W. Bush,Republican,9538,57.09,16708,Republican
2000,Arkansas,AR,Baxter,County,Al Gore,Democratic,6516,39.0,16708,Republican
2000,Arkansas,AR,Baxter,County,Other,Other,654,3.91,16708,Republican
2000,Arkansas,AR,Benton,County,George W. Bush,Republican,34838,64.94,53646,Republican
2000,Arkansas,AR,Benton,County,Al Gore,Democratic,17277,32.21,53646,Republican
2000,Arkansas,AR,Benton,County,Other,Other,1531,2.85,53646,Republican
2000,Arkansas,AR,Boone,County,George W. Bush,Republican,8569,62.85,13635,Republican
2000,Arkansas,AR,Boone,County,Al Gore,Democratic,4493,32.95,13635,Republican
2000,Arkansas,AR,Boone,County,Other,Other,573,4.2,13635,Republican
2000,Arkansas,AR,Bradley,County,George W. Bush,Republican,1793,45.06,3979,Democratic
2000,Arkansas,AR,Bradley,County,Al Gore,Democratic,2122,53.33,3979,Democratic
2000,Arkansas,AR,Bradley,County,Other,Other,64,1.61,3979,Democratic
2000,Arkansas,AR,Calhoun,County,George W. Bush,Republican,1128,51.62,2185,Republican
2000,Arkansas,AR,Calhoun,County,Al Gore,Democratic,1017,46.54,2185,Republican
2000,Arkansas,AR,Calhoun,County,Other,Other,40,1.83,2185,Republican
2000,Arkansas,AR,Carroll,County,George W. Bush,Republican,5556,57.94,9590,Republican
2000,Arkansas,AR,Carroll,County,Al Gore,Democratic,3595,37.49,9590,Republican
2000,Arkansas,AR,Carroll,County,Other,Other,439,4.58,9590,Republican
2000,Arkansas,AR,Chicot,County,George W. Bush,Republican,1564,35.13,4452,Democratic
2000,Arkansas,AR,Chicot,County,Al Gore,Democratic,2820,63.34,4452,Democratic
2000,Arkansas,AR,Chicot,County,Other,Other,68,1.53,4452,Democratic
2000,Arkansas,AR,Clark,County,George W. Bush,Republican,3376,43.77,8626,Democratic
2000,Arkansas,AR,Clark,County,Al Gore,Democratic,4661,54.03,8626,Democratic
2000,Arkansas,AR,Clark,County,Other,Other,189,2.19,8626,Democratic
2000,Arkansas,AR,Clay,County,George W. Bush,Republican,2254,38.2,5900,Democratic
2000,Arkansas,AR,Clay,County,Al Gore,Democratic,3527,59.78,5900,Democratic
2000,Arkansas,AR,Clay,County,Other,Other,119,2.02,5900,Democratic
2000,Arkansas,AR,Cleburne,County,George W. Bush,Republican,5730,56.14,10207,Republican
2000,Arkansas,AR,Cleburne,County,Al Gore,Democratic,4120,40.36,10207,Republican
